,stat,precision,recall,f1-score,support,model_accuracy,model
2,accuracy,0.877314815,0.877314815,0.877314815,0.877314815,0.877314815,sp_07_thresh_merge_70
3,macro avg,0.879127967,0.878160451,0.877282594,432,0.877314815,sp_07_thresh_merge_70
4,weighted avg,0.879883447,0.877314815,0.877236565,432,0.877314815,sp_07_thresh_merge_70
0,0,0.771317829,0.943127962,0.848614072,211,0.835648148,sp_07_thresh_merge_75
1,1,0.931034483,0.733031674,0.820253165,221,0.835648148,sp_07_thresh_merge_75
2,accuracy,0.835648148,0.835648148,0.835648148,0.835648148,0.835648148,sp_07_thresh_merge_75
3,macro avg,0.851176156,0.838079818,0.834433619,432,0.835648148,sp_07_thresh_merge_75
4,weighted avg,0.853024728,0.835648148,0.834105367,432,0.835648148,sp_07_thresh_merge_75
0,0,0.716783217,0.971563981,0.824949698,211,0.798611111,sp_07_thresh_merge_80
1,1,0.95890411,0.633484163,0.762942779,221,0.798611111,sp_07_thresh_merge_80
2,accuracy,0.798611111,0.798611111,0.798611111,0.798611111,0.798611111,sp_07_thresh_merge_80
3,macro avg,0.837843663,0.802524072,0.793946239,432,0.798611111,sp_07_thresh_merge_80
4,weighted avg,0.840645988,0.798611111,0.793228566,432,0.798611111,sp_07_thresh_merge_80
0,0,0.650943396,0.981042654,0.782608696,211,0.733796296,sp_07_thresh_merge_85
1,1,0.964912281,0.497737557,0.656716418,221,0.733796296,sp_07_thresh_merge_85
2,accuracy,0.733796296,0.733796296,0.733796296,0.733796296,0.733796296,sp_07_thresh_merge_85
3,macro avg,0.807927838,0.739390105,0.719662557,432,0.733796296,sp_07_thresh_merge_85
4,weighted avg,0.811561738,0.733796296,0.71820547,432,0.733796296,sp_07_thresh_merge_85
0,0,0.585915493,0.985781991,0.734982332,211,0.652777778,sp_07_thresh_merge_90
1,1,0.961038961,0.334841629,0.496644295,221,0.652777778,sp_07_thresh_merge_90
2,accuracy,0.652777778,0.652777778,0.652777778,0.652777778,0.652777778,sp_07_thresh_merge_90
3,macro avg,0.773477227,0.66031181,0.615813314,432,0.652777778,sp_07_thresh_merge_90
4,weighted avg,0.777818934,0.652777778,0.613054772,432,0.652777778,sp_07_thresh_merge_90
0,0,0.526315789,0.995260664,0.68852459,211,0.560185185,sp_07_thresh_merge_95
1,1,0.96969697,0.14479638,0.251968504,221,0.560185185,sp_07_thresh_merge_95
2,accuracy,0.560185185,0.560185185,0.560185185,0.560185185,0.560185185,sp_07_thresh_merge_95
3,macro avg,0.74800638,0.570028522,0.470246547,432,0.560185185,sp_07_thresh_merge_95
4,weighted avg,0.753138106,0.560185185,0.465193815,432,0.560185185,sp_07_thresh_merge_95
0,0,0.894472362,0.843601896,0.868292683,211,0.875,sp_085_thresh_merge_50
1,1,0.858369099,0.904977376,0.881057269,221,0.875,sp_085_thresh_merge_50
2,accuracy,0.875,0.875,0.875,0.875,0.875,sp_085_thresh_merge_50
3,macro avg,0.87642073,0.874289636,0.874674976,432,0.875,sp_085_thresh_merge_50
4,weighted avg,0.876002868,0.875,0.874822714,432,0.875,sp_085_thresh_merge_50
0,0,0.861111111,0.881516588,0.871194379,211,0.872685185,sp_085_thresh_merge_55
1,1,0.884259259,0.864253394,0.874141876,221,0.872685185,sp_085_thresh_merge_55
2,accuracy,0.872685185,0.872685185,0.872685185,0.872685185,0.872685185,sp_085_thresh_merge_55
3,macro avg,0.872685185,0.872884991,0.872668128,432,0.872685185,sp_085_thresh_merge_55
4,weighted avg,0.872953104,0.872685185,0.872702242,432,0.872685185,sp_085_thresh_merge_55
0,0,0.809128631,0.924170616,0.862831858,211,0.856481481,sp_085_thresh_merge_60
1,1,0.916230366,0.791855204,0.849514563,221,0.856481481,sp_085_thresh_merge_60
2,accuracy,0.856481481,0.856481481,0.856481481,0.856481481,0.856481481,sp_085_thresh_merge_60
3,macro avg,0.862679499,0.85801291,0.856173211,432,0.856481481,sp_085_thresh_merge_60
4,weighted avg,0.863919102,0.856481481,0.856019075,432,0.856481481,sp_085_thresh_merge_60
0,0,0.745387454,0.957345972,0.838174274,211,0.819444444,sp_085_thresh_merge_65
1,1,0.944099379,0.687782805,0.795811518,221,0.819444444,sp_085_thresh_merge_65
2,accuracy,0.819444444,0.819444444,0.819444444,0.819444444,0.819444444,sp_085_thresh_merge_65
3,macro avg,0.844743416,0.822564388,0.816992896,432,0.819444444,sp_085_thresh_merge_65
4,weighted avg,0.847043323,0.819444444,0.816502586,432,0.819444444,sp_085_thresh_merge_65
0,0,0.684210526,0.985781991,0.80776699,211,0.770833333,sp_085_thresh_merge_70
1,1,0.9765625,0.56561086,0.716332378,221,0.770833333,sp_085_thresh_merge_70
